solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,trotters,feasible,minla_cost,lower_bound,approx_ratio,time_s,gamma
OpenJijSA,10,26,100,42,500,0.1,5.0,1,True,82.0,54.000000000000014,1.5185185185185182,0.012,0.0
OpenJijSA,10,26,100,123,500,0.1,5.0,1,True,70.0,54.000000000000014,1.296296296296296,0.012,0.0
OpenJijSA,10,26,100,456,500,0.1,5.0,1,True,79.0,54.000000000000014,1.4629629629629626,0.012,0.0
OpenJijSA,10,26,100,789,500,0.1,5.0,1,True,70.0,54.000000000000014,1.296296296296296,0.011,0.0
OpenJijSA,10,26,100,999,500,0.1,5.0,1,True,82.0,54.000000000000014,1.5185185185185182,0.012,0.0
OpenJijSA,10,26,100,42,500,0.1,10.0,1,True,80.0,54.000000000000014,1.4814814814814812,0.011,0.0
OpenJijSA,10,26,100,123,500,0.1,10.0,1,True,69.0,54.000000000000014,1.2777777777777777,0.011,0.0
OpenJijSA,10,26,100,456,500,0.1,10.0,1,True,65.0,54.000000000000014,1.2037037037037033,0.011,0.0
OpenJijSA,10,26,100,789,500,0.1,10.0,1,True,70.0,54.000000000000014,1.296296296296296,0.011,0.0
OpenJijSA,10,26,100,999,500,0.1,10.0,1,True,67.0,54.000000000000014,1.2407407407407405,0.011,0.0
OpenJijSA,10,26,100,42,500,0.5,0.5,1,False,,54.000000000000014,,0.011,0.0
OpenJijSA,10,26,100,123,500,0.5,0.5,1,False,,54.000000000000014,,0.011,0.0
OpenJijSA,10,26,100,456,500,0.5,0.5,1,False,,54.000000000000014,,0.011,0.0
OpenJijSA,10,26,100,789,500,0.5,0.5,1,False,,54.000000000000014,,0.011,0.0
OpenJijSA,10,26,100,999,500,0.5,0.5,1,False,,54.000000000000014,,0.011,0.0
OpenJijSA,10,26,100,42,500,0.5,1.0,1,True,65.0,54.000000000000014,1.2037037037037033,0.01,0.0
OpenJijSA,10,26,100,123,500,0.5,1.0,1,True,64.0,54.000000000000014,1.185185185185185,0.011,0.0
OpenJijSA,10,26,100,456,500,0.5,1.0,1,False,,54.000000000000014,,0.01,0.0
OpenJijSA,10,26,100,789,500,0.5,1.0,1,True,66.0,54.000000000000014,1.222222222222222,0.01,0.0
OpenJijSA,10,26,100,999,500,0.5,1.0,1,True,65.0,54.000000000000014,1.2037037037037033,0.01,0.0
OpenJijSA,10,26,100,42,500,0.5,5.0,1,False,,54.000000000000014,,0.01,0.0
OpenJijSA,10,26,100,123,500,0.5,5.0,1,True,65.0,54.000000000000014,1.2037037037037033,0.011,0.0
OpenJijSA,10,26,100,456,500,0.5,5.0,1,True,83.0,54.000000000000014,1.5370370370370363,0.01,0.0
OpenJijSA,10,26,100,789,500,0.5,5.0,1,True,72.0,54.000000000000014,1.333333333333333,0.01,0.0
OpenJijSA,10,26,100,999,500,0.5,5.0,1,True,69.0,54.000000000000014,1.2777777777777777,0.01,0.0
OpenJijSA,10,26,100,42,500,0.5,10.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.01,0.0
OpenJijSA,10,26,100,123,500,0.5,10.0,1,True,71.0,54.000000000000014,1.3148148148148144,0.01,0.0
OpenJijSA,10,26,100,456,500,0.5,10.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.01,0.0
OpenJijSA,10,26,100,789,500,0.5,10.0,1,True,70.0,54.000000000000014,1.296296296296296,0.01,0.0
OpenJijSA,10,26,100,999,500,0.5,10.0,1,True,71.0,54.000000000000014,1.3148148148148144,0.01,0.0
OpenJijSA,10,26,100,42,1000,1e-09,0.1,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,123,1000,1e-09,0.1,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,456,1000,1e-09,0.1,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,789,1000,1e-09,0.1,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,999,1000,1e-09,0.1,1,False,,54.000000000000014,,0.027,0.0
OpenJijSA,10,26,100,42,1000,1e-09,0.3,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,123,1000,1e-09,0.3,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,456,1000,1e-09,0.3,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,789,1000,1e-09,0.3,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,999,1000,1e-09,0.3,1,False,,54.000000000000014,,0.027,0.0
OpenJijSA,10,26,100,42,1000,1e-09,0.5,1,True,67.0,54.000000000000014,1.2407407407407405,0.027,0.0
OpenJijSA,10,26,100,123,1000,1e-09,0.5,1,False,,54.000000000000014,,0.027,0.0
OpenJijSA,10,26,100,456,1000,1e-09,0.5,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,789,1000,1e-09,0.5,1,False,,54.000000000000014,,0.027,0.0
OpenJijSA,10,26,100,999,1000,1e-09,0.5,1,False,,54.000000000000014,,0.028,0.0
OpenJijSA,10,26,100,42,1000,1e-09,1.0,1,True,79.0,54.000000000000014,1.4629629629629626,0.027,0.0
