solver,penalty,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,0.5,linear,True,73.0,54.000000000000014,1.3518518518518514,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,0.5,linear,True,67.0,54.000000000000014,1.2407407407407405,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,0.5,linear,True,78.0,54.000000000000014,1.444444444444444,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,0.5,linear,True,72.0,54.000000000000014,1.333333333333333,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,0.5,linear,True,70.0,54.000000000000014,1.296296296296296,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,0.5,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,0.5,geometric,True,70.0,54.000000000000014,1.296296296296296,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,0.5,geometric,True,70.0,54.000000000000014,1.296296296296296,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,0.5,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,0.5,geometric,True,77.0,54.000000000000014,1.4259259259259256,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,1.0,linear,True,69.0,54.000000000000014,1.2777777777777777,0.001
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,1.0,linear,True,64.0,54.000000000000014,1.185185185185185,0.001
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,1.0,linear,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,1.0,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,1.0,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,1.0,geometric,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,1.0,geometric,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,1.0,geometric,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,5.0,linear,True,67.0,54.000000000000014,1.2407407407407405,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,5.0,linear,True,71.0,54.000000000000014,1.3148148148148144,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,5.0,linear,True,80.0,54.000000000000014,1.4814814814814812,0.002
