solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSA,500,1e-05,100000.0,1,0.0,0.2,1.5788888888888883,0.053559999999999997,25
OpenJijSA,500,1e-05,1000000.0,1,0.0,0.28,1.4927248677248675,0.05247999999999999,25
OpenJijSA,500,1e-05,10000000.0,1,0.0,0.24,1.518055555555555,0.05167999999999999,25
OpenJijSA,500,1e-05,100000000.0,1,0.0,0.12,1.6533950617283946,0.04955999999999999,25
OpenJijSA,500,1e-05,1000000000.0,1,0.0,0.2,1.5664814814814814,0.04896,25
OpenJijSA,500,0.0001,0.0001,1,0.0,0.0,,0.07452,25
OpenJijSA,500,0.0001,0.001,1,0.0,0.0,,0.07608,25
OpenJijSA,500,0.0001,0.01,1,0.0,0.0,,0.07952,25
OpenJijSA,500,0.0001,0.1,1,0.0,0.0,,0.0756,25
OpenJijSA,500,0.0001,1.0,1,0.0,0.16,1.497507122507122,0.0684,25
OpenJijSA,500,0.0001,10.0,1,0.0,0.24,1.3939814814814813,0.06196000000000001,25
OpenJijSA,500,0.0001,100.0,1,0.0,0.28,1.5115282865282864,0.05768000000000001,25
OpenJijSA,500,0.0001,1000.0,1,0.0,0.28,1.6448005698005697,0.05636,25
OpenJijSA,500,0.0001,10000.0,1,0.0,0.28,1.5385632885632883,0.05212,25
OpenJijSA,500,0.0001,100000.0,1,0.0,0.2,1.4966666666666666,0.050440000000000006,25
OpenJijSA,500,0.0001,1000000.0,1,0.0,0.24,1.5325854700854695,0.04959999999999999,25
OpenJijSA,500,0.0001,10000000.0,1,0.0,0.24,1.6223409306742635,0.04852,25
OpenJijSA,500,0.0001,100000000.0,1,0.0,0.32,1.558742877492877,0.04716,25
OpenJijSA,500,0.0001,1000000000.0,1,0.0,0.28,1.5630443630443627,0.04632,25
OpenJijSA,500,0.001,0.001,1,0.0,0.0,,0.07748,25
OpenJijSA,500,0.001,0.01,1,0.0,0.0,,0.07932,25
OpenJijSA,500,0.001,0.1,1,0.0,0.0,,0.07491999999999999,25
OpenJijSA,500,0.001,1.0,1,0.0,0.2,1.5190313390313386,0.06424,25
