n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-05,0.001,False,geometric,fixed_Hp,999,20100.0,False,,5.675
25,151,1e-05,0.01,False,geometric,fixed_Hp,42,5744.0,False,,5.619
25,151,1e-05,0.01,False,geometric,fixed_Hp,123,5406.0,False,,5.66
25,151,1e-05,0.01,False,geometric,fixed_Hp,456,5684.0,False,,5.436
25,151,1e-05,0.01,False,geometric,fixed_Hp,789,6044.0,False,,5.66
25,151,1e-05,0.01,False,geometric,fixed_Hp,999,5666.0,False,,5.628
25,151,1e-05,0.1,False,geometric,fixed_Hp,42,2110.0,False,,5.507
25,151,1e-05,0.1,False,geometric,fixed_Hp,123,1982.0,False,,5.569
25,151,1e-05,0.1,False,geometric,fixed_Hp,456,2036.0,False,,5.528
25,151,1e-05,0.1,False,geometric,fixed_Hp,789,2053.0,False,,5.54
25,151,1e-05,0.1,False,geometric,fixed_Hp,999,2129.0,False,,5.61
25,151,1e-05,1.0,False,geometric,fixed_Hp,42,1218.0,False,,6.112
25,151,1e-05,1.0,False,geometric,fixed_Hp,123,1177.0,False,,6.107
25,151,1e-05,1.0,False,geometric,fixed_Hp,456,1156.0,False,,6.761
25,151,1e-05,1.0,False,geometric,fixed_Hp,789,1128.0,False,,6.09
25,151,1e-05,1.0,False,geometric,fixed_Hp,999,1193.0,False,,6.291
25,151,1e-05,10.0,False,geometric,fixed_Hp,42,1023.0,False,,14.412
25,151,1e-05,10.0,False,geometric,fixed_Hp,123,1003.0,False,,14.641
25,151,1e-05,10.0,False,geometric,fixed_Hp,456,1045.0,False,,14.479
25,151,1e-05,10.0,False,geometric,fixed_Hp,789,1045.0,False,,14.185
25,151,1e-05,10.0,False,geometric,fixed_Hp,999,1014.0,False,,14.405
25,151,0.0001,0.0001,False,geometric,fixed_Hp,42,24403.0,False,,5.724
25,151,0.0001,0.0001,False,geometric,fixed_Hp,123,20666.0,False,,5.756
25,151,0.0001,0.0001,False,geometric,fixed_Hp,456,25670.0,False,,5.767
25,151,0.0001,0.0001,False,geometric,fixed_Hp,789,24699.0,False,,5.711
25,151,0.0001,0.0001,False,geometric,fixed_Hp,999,22577.0,False,,5.699
25,151,0.0001,0.001,False,geometric,fixed_Hp,42,18545.0,False,,5.704
25,151,0.0001,0.001,False,geometric,fixed_Hp,123,18800.0,False,,5.684
25,151,0.0001,0.001,False,geometric,fixed_Hp,456,15033.0,False,,5.697
25,151,0.0001,0.001,False,geometric,fixed_Hp,789,18487.0,False,,5.693
25,151,0.0001,0.001,False,geometric,fixed_Hp,999,15840.0,False,,5.657
25,151,0.0001,0.01,False,geometric,fixed_Hp,42,5975.0,False,,5.48
25,151,0.0001,0.01,False,geometric,fixed_Hp,123,5241.0,False,,5.52
25,151,0.0001,0.01,False,geometric,fixed_Hp,456,5704.0,False,,5.663
25,151,0.0001,0.01,False,geometric,fixed_Hp,789,4838.0,False,,5.682
25,151,0.0001,0.01,False,geometric,fixed_Hp,999,5720.0,False,,7.319
25,151,0.0001,0.1,False,geometric,fixed_Hp,42,1997.0,False,,5.664
25,151,0.0001,0.1,False,geometric,fixed_Hp,123,2019.0,False,,11.342
25,151,0.0001,0.1,False,geometric,fixed_Hp,456,2030.0,False,,14.418
25,151,0.0001,0.1,False,geometric,fixed_Hp,789,2068.0,False,,14.592
25,151,0.0001,0.1,False,geometric,fixed_Hp,999,2140.0,False,,13.899
25,151,0.0001,1.0,False,geometric,fixed_Hp,42,1195.0,False,,14.784
25,151,0.0001,1.0,False,geometric,fixed_Hp,123,1108.0,False,,9.905
25,151,0.0001,1.0,False,geometric,fixed_Hp,456,1134.0,False,,6.107
25,151,0.0001,1.0,False,geometric,fixed_Hp,789,1222.0,False,,6.054
