n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
20,93,76,495.0,True,495.0,484,1.0227272727272727,0.022727272727272728,2.643,789,PathIntegralAnnealingSampler
20,103,77,545.0,True,545.0,551,0.9891107078039928,-0.010889292196007259,2.657,789,PathIntegralAnnealingSampler
20,100,78,508.0,True,508.0,502,1.0119521912350598,0.01195219123505976,2.634,456,PathIntegralAnnealingSampler
20,87,79,445.0,True,445.0,436,1.0206422018348624,0.020642201834862386,2.625,789,PathIntegralAnnealingSampler
20,103,80,562.0,True,562.0,559,1.0053667262969588,0.005366726296958855,2.633,456,PathIntegralAnnealingSampler
20,97,81,465.0,True,465.0,462,1.0064935064935066,0.006493506493506494,2.605,999,PathIntegralAnnealingSampler
20,92,82,470.0,False,,455,,,2.593,999,PathIntegralAnnealingSampler
20,95,83,486.0,True,486.0,499,0.9739478957915831,-0.026052104208416832,2.723,999,PathIntegralAnnealingSampler
20,98,84,497.0,True,497.0,489,1.016359918200409,0.016359918200409,2.718,456,PathIntegralAnnealingSampler
20,103,85,544.0,True,544.0,538,1.0111524163568772,0.011152416356877323,2.619,789,PathIntegralAnnealingSampler
20,101,86,523.0,True,523.0,520,1.0057692307692307,0.0057692307692307696,2.657,999,PathIntegralAnnealingSampler
20,85,87,412.0,False,,417,,,2.709,42,PathIntegralAnnealingSampler
20,100,88,510.0,True,510.0,500,1.02,0.02,2.748,123,PathIntegralAnnealingSampler
20,95,89,482.0,True,482.0,478,1.00836820083682,0.008368200836820083,2.81,999,PathIntegralAnnealingSampler
20,97,90,481.0,True,481.0,473,1.0169133192389006,0.016913319238900635,2.907,999,PathIntegralAnnealingSampler
20,75,91,372.0,True,372.0,363,1.024793388429752,0.024793388429752067,2.899,42,PathIntegralAnnealingSampler
20,86,92,410.0,True,410.0,403,1.0173697270471465,0.017369727047146403,2.884,42,PathIntegralAnnealingSampler
20,92,93,475.0,True,475.0,462,1.0281385281385282,0.02813852813852814,2.703,999,PathIntegralAnnealingSampler
20,93,94,480.0,False,,473,,,2.743,123,PathIntegralAnnealingSampler
20,107,95,543.0,True,543.0,537,1.011173184357542,0.0111731843575419,2.626,42,PathIntegralAnnealingSampler
20,97,96,509.0,True,509.0,509,1.0,0.0,2.615,123,PathIntegralAnnealingSampler
20,89,97,447.0,True,447.0,453,0.9867549668874173,-0.013245033112582781,2.658,789,PathIntegralAnnealingSampler
20,99,98,523.0,True,523.0,523,1.0,0.0,2.616,42,PathIntegralAnnealingSampler
20,87,99,418.0,True,418.0,413,1.0121065375302662,0.012106537530266344,2.644,123,PathIntegralAnnealingSampler
25,146,0,953.0,False,,924,,,4.855,42,PathIntegralAnnealingSampler
25,144,1,927.0,False,,956,,,5.153,456,PathIntegralAnnealingSampler
25,151,2,988.0,True,988.0,970,1.0185567010309278,0.018556701030927835,4.916,789,PathIntegralAnnealingSampler
25,138,3,867.0,True,867.0,889,0.9752530933633295,-0.024746906636670417,5.263,123,PathIntegralAnnealingSampler
25,133,4,833.0,True,833.0,819,1.017094017094017,0.017094017094017096,4.869,789,PathIntegralAnnealingSampler
25,139,5,897.0,True,897.0,876,1.023972602739726,0.023972602739726026,5.007,999,PathIntegralAnnealingSampler
25,139,6,901.0,True,901.0,871,1.034443168771527,0.03444316877152698,4.851,789,PathIntegralAnnealingSampler
25,145,7,986.0,True,986.0,972,1.01440329218107,0.01440329218106996,4.835,999,PathIntegralAnnealingSampler
25,163,8,1070.0,True,1070.0,1039,1.0298363811357074,0.029836381135707413,4.78,123,PathIntegralAnnealingSampler
25,145,9,938.0,True,938.0,924,1.0151515151515151,0.015151515151515152,4.99,123,PathIntegralAnnealingSampler
25,145,10,951.0,True,951.0,960,0.990625,-0.009375,4.893,42,PathIntegralAnnealingSampler
25,152,11,1008.0,False,,976,,,5.168,999,PathIntegralAnnealingSampler
25,150,12,996.0,True,996.0,999,0.996996996996997,-0.003003003003003003,5.214,42,PathIntegralAnnealingSampler
25,142,13,938.0,True,938.0,915,1.025136612021858,0.025136612021857924,5.315,789,PathIntegralAnnealingSampler
25,137,14,870.0,True,870.0,848,1.025943396226415,0.025943396226415096,5.338,999,PathIntegralAnnealingSampler
25,153,15,1003.0,True,1003.0,997,1.0060180541624875,0.006018054162487462,5.44,42,PathIntegralAnnealingSampler
25,139,16,909.0,False,,905,,,5.777,123,PathIntegralAnnealingSampler
25,152,17,1037.0,True,1037.0,1005,1.0318407960199005,0.031840796019900496,5.566,999,PathIntegralAnnealingSampler
25,157,18,1034.0,True,1034.0,1054,0.9810246679316889,-0.018975332068311195,5.707,789,PathIntegralAnnealingSampler
25,142,19,919.0,True,919.0,915,1.0043715846994536,0.004371584699453552,5.605,123,PathIntegralAnnealingSampler
25,147,20,920.0,True,920.0,888,1.0360360360360361,0.036036036036036036,5.42,456,PathIntegralAnnealingSampler
25,136,21,881.0,True,881.0,884,0.996606334841629,-0.003393665158371041,7.11,123,PathIntegralAnnealingSampler
25,148,22,970.0,True,970.0,933,1.0396570203644158,0.03965702036441586,6.723,999,PathIntegralAnnealingSampler
25,132,23,863.0,True,863.0,858,1.005827505827506,0.005827505827505828,6.581,42,PathIntegralAnnealingSampler
25,144,24,921.0,False,,915,,,6.2,999,PathIntegralAnnealingSampler
25,143,25,920.0,False,,900,,,6.196,999,PathIntegralAnnealingSampler
25,139,26,864.0,False,,821,,,6.287,42,PathIntegralAnnealingSampler
25,152,27,994.0,True,994.0,954,1.0419287211740043,0.041928721174004195,5.33,456,PathIntegralAnnealingSampler
25,163,28,1114.0,True,1114.0,1098,1.0145719489981786,0.014571948998178506,5.349,999,PathIntegralAnnealingSampler
25,143,29,874.0,False,,869,,,5.488,789,PathIntegralAnnealingSampler
25,147,30,975.0,False,,937,,,5.44,789,PathIntegralAnnealingSampler
25,151,31,1018.0,True,1018.0,1004,1.0139442231075697,0.013944223107569721,5.461,999,PathIntegralAnnealingSampler
25,156,32,1025.0,True,1025.0,1054,0.9724857685009488,-0.027514231499051234,5.905,999,PathIntegralAnnealingSampler
25,144,33,938.0,True,938.0,928,1.0107758620689655,0.010775862068965518,5.43,123,PathIntegralAnnealingSampler
25,148,34,967.0,True,967.0,983,0.9837232960325534,-0.01627670396744659,5.67,456,PathIntegralAnnealingSampler
25,154,35,1030.0,True,1030.0,1052,0.9790874524714829,-0.02091254752851711,5.818,42,PathIntegralAnnealingSampler
25,151,36,1039.0,False,,993,,,5.591,42,PathIntegralAnnealingSampler
25,167,37,1154.0,False,,1130,,,6.318,456,PathIntegralAnnealingSampler
25,146,38,989.0,True,989.0,948,1.0432489451476794,0.043248945147679324,7.381,123,PathIntegralAnnealingSampler
25,156,39,1050.0,False,,1016,,,6.13,123,PathIntegralAnnealingSampler
25,137,40,904.0,False,,863,,,7.287,789,PathIntegralAnnealingSampler
25,158,41,1073.0,False,,1074,,,7.331,123,PathIntegralAnnealingSampler
25,147,42,936.0,True,936.0,947,0.9883843717001056,-0.011615628299894404,7.448,456,PathIntegralAnnealingSampler
25,155,43,1045.0,True,1045.0,1051,0.994291151284491,-0.005708848715509039,5.44,789,PathIntegralAnnealingSampler
25,131,44,834.0,False,,831,,,7.127,123,PathIntegralAnnealingSampler
25,152,45,989.0,True,989.0,976,1.0133196721311475,0.01331967213114754,7.148,789,PathIntegralAnnealingSampler
25,146,46,949.0,True,949.0,924,1.027056277056277,0.027056277056277056,4.984,123,PathIntegralAnnealingSampler
25,158,47,1106.0,True,1106.0,1065,1.0384976525821596,0.038497652582159626,4.851,789,PathIntegralAnnealingSampler
25,140,48,912.0,True,912.0,912,1.0,0.0,4.867,456,PathIntegralAnnealingSampler
25,131,49,851.0,True,851.0,833,1.021608643457383,0.021608643457382955,4.868,456,PathIntegralAnnealingSampler
25,151,50,984.0,True,984.0,970,1.0144329896907216,0.01443298969072165,4.884,123,PathIntegralAnnealingSampler
25,160,51,1113.0,True,1113.0,1064,1.0460526315789473,0.046052631578947366,4.803,456,PathIntegralAnnealingSampler
25,154,52,1011.0,True,1011.0,1001,1.00999000999001,0.00999000999000999,4.896,789,PathIntegralAnnealingSampler
25,157,53,1055.0,True,1055.0,1030,1.0242718446601942,0.024271844660194174,4.934,42,PathIntegralAnnealingSampler
