n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
20,83,40,415.0,True,415.0,405,1.0246913580246915,0.024691358024691357,6.997,PathIntegralAnnealingSampler
20,92,41,509.0,False,,459,,,7.959,PathIntegralAnnealingSampler
20,97,42,519.0,False,,492,,,7.904,PathIntegralAnnealingSampler
20,88,43,463.0,True,463.0,452,1.0243362831858407,0.024336283185840708,7.932,PathIntegralAnnealingSampler
20,105,44,538.0,False,,542,,,7.876,PathIntegralAnnealingSampler
20,90,45,429.0,True,429.0,421,1.0190023752969122,0.019002375296912115,7.855,PathIntegralAnnealingSampler
20,89,46,465.0,True,465.0,445,1.0449438202247192,0.0449438202247191,7.899,PathIntegralAnnealingSampler
20,101,47,534.0,True,534.0,513,1.04093567251462,0.04093567251461988,7.901,PathIntegralAnnealingSampler
20,86,48,422.0,False,,413,,,7.897,PathIntegralAnnealingSampler
20,98,49,524.0,False,,499,,,7.89,PathIntegralAnnealingSampler
20,93,50,488.0,True,488.0,474,1.029535864978903,0.029535864978902954,7.877,PathIntegralAnnealingSampler
20,85,51,408.0,True,408.0,399,1.0225563909774436,0.022556390977443608,7.807,PathIntegralAnnealingSampler
20,91,52,463.0,True,463.0,452,1.0243362831858407,0.024336283185840708,7.843,PathIntegralAnnealingSampler
20,103,53,582.0,True,582.0,542,1.0738007380073802,0.07380073800738007,7.861,PathIntegralAnnealingSampler
20,90,54,469.0,False,,445,,,7.837,PathIntegralAnnealingSampler
20,89,55,447.0,True,447.0,438,1.0205479452054795,0.02054794520547945,7.731,PathIntegralAnnealingSampler
20,99,56,519.0,True,519.0,502,1.0338645418326693,0.03386454183266932,7.825,PathIntegralAnnealingSampler
20,95,57,502.0,True,502.0,474,1.0590717299578059,0.05907172995780591,7.724,PathIntegralAnnealingSampler
20,102,58,548.0,False,,530,,,7.833,PathIntegralAnnealingSampler
20,93,59,450.0,True,450.0,443,1.0158013544018059,0.01580135440180587,7.755,PathIntegralAnnealingSampler
20,94,60,474.0,True,474.0,462,1.025974025974026,0.025974025974025976,7.82,PathIntegralAnnealingSampler
20,86,61,441.0,False,,412,,,7.912,PathIntegralAnnealingSampler
20,90,62,474.0,False,,449,,,7.942,PathIntegralAnnealingSampler
20,88,63,453.0,False,,432,,,7.892,PathIntegralAnnealingSampler
20,98,64,540.0,True,540.0,520,1.0384615384615385,0.038461538461538464,7.914,PathIntegralAnnealingSampler
20,92,65,437.0,True,437.0,430,1.0162790697674418,0.01627906976744186,7.881,PathIntegralAnnealingSampler
20,99,66,547.0,True,547.0,522,1.0478927203065134,0.04789272030651341,7.881,PathIntegralAnnealingSampler
20,97,67,502.0,True,502.0,487,1.0308008213552362,0.030800821355236138,7.891,PathIntegralAnnealingSampler
20,102,68,538.0,True,538.0,524,1.0267175572519085,0.026717557251908396,7.872,PathIntegralAnnealingSampler
20,93,69,490.0,True,490.0,487,1.0061601642710472,0.006160164271047228,7.96,PathIntegralAnnealingSampler
20,92,70,496.0,False,,470,,,7.974,PathIntegralAnnealingSampler
20,100,71,548.0,False,,519,,,7.912,PathIntegralAnnealingSampler
20,101,72,566.0,True,566.0,549,1.0309653916211294,0.030965391621129327,7.86,PathIntegralAnnealingSampler
20,92,73,492.0,False,,471,,,7.985,PathIntegralAnnealingSampler
20,78,74,399.0,False,,371,,,7.88,PathIntegralAnnealingSampler
20,94,75,488.0,False,,474,,,7.971,PathIntegralAnnealingSampler
20,93,76,496.0,True,496.0,484,1.024793388429752,0.024793388429752067,7.919,PathIntegralAnnealingSampler
20,103,77,580.0,True,580.0,551,1.0526315789473684,0.05263157894736842,7.924,PathIntegralAnnealingSampler
20,100,78,516.0,True,516.0,502,1.0278884462151394,0.027888446215139442,7.91,PathIntegralAnnealingSampler
20,87,79,455.0,False,,436,,,7.858,PathIntegralAnnealingSampler
20,103,80,584.0,True,584.0,559,1.0447227191413238,0.044722719141323794,7.766,PathIntegralAnnealingSampler
20,97,81,508.0,True,508.0,462,1.0995670995670996,0.09956709956709957,7.8,PathIntegralAnnealingSampler
20,92,82,492.0,False,,455,,,7.884,PathIntegralAnnealingSampler
20,95,83,496.0,True,496.0,499,0.9939879759519038,-0.006012024048096192,7.931,PathIntegralAnnealingSampler
20,98,84,505.0,True,505.0,489,1.032719836400818,0.032719836400818,8.092,PathIntegralAnnealingSampler
20,103,85,561.0,True,561.0,538,1.0427509293680297,0.04275092936802974,7.902,PathIntegralAnnealingSampler
20,101,86,534.0,True,534.0,520,1.0269230769230768,0.026923076923076925,7.941,PathIntegralAnnealingSampler
20,85,87,409.0,False,,417,,,8.158,PathIntegralAnnealingSampler
20,100,88,531.0,False,,500,,,7.663,PathIntegralAnnealingSampler
20,95,89,522.0,False,,478,,,7.643,PathIntegralAnnealingSampler
20,97,90,497.0,False,,473,,,7.711,PathIntegralAnnealingSampler
20,75,91,386.0,False,,363,,,7.859,PathIntegralAnnealingSampler
20,86,92,411.0,True,411.0,403,1.0198511166253101,0.019851116625310174,8.063,PathIntegralAnnealingSampler
20,92,93,481.0,True,481.0,462,1.0411255411255411,0.04112554112554113,5.526,PathIntegralAnnealingSampler
20,93,94,497.0,False,,473,,,3.94,PathIntegralAnnealingSampler
20,107,95,543.0,True,543.0,537,1.011173184357542,0.0111731843575419,3.899,PathIntegralAnnealingSampler
20,97,96,528.0,True,528.0,509,1.037328094302554,0.03732809430255403,3.823,PathIntegralAnnealingSampler
20,89,97,469.0,True,469.0,453,1.0353200883002207,0.03532008830022075,3.847,PathIntegralAnnealingSampler
20,99,98,552.0,False,,523,,,3.795,PathIntegralAnnealingSampler
20,87,99,423.0,True,423.0,413,1.0242130750605327,0.024213075060532687,3.873,PathIntegralAnnealingSampler
25,146,0,995.0,True,995.0,924,1.076839826839827,0.07683982683982683,7.276,PathIntegralAnnealingSampler
25,144,1,949.0,False,,956,,,7.162,PathIntegralAnnealingSampler
25,151,2,1014.0,False,,970,,,7.214,PathIntegralAnnealingSampler
25,138,3,911.0,True,911.0,889,1.0247469066366703,0.024746906636670417,7.225,PathIntegralAnnealingSampler
25,133,4,860.0,False,,819,,,7.181,PathIntegralAnnealingSampler
25,139,5,923.0,False,,876,,,7.657,PathIntegralAnnealingSampler
25,139,6,903.0,True,903.0,871,1.036739380022962,0.03673938002296211,11.391,PathIntegralAnnealingSampler
25,145,7,1017.0,False,,972,,,7.16,PathIntegralAnnealingSampler
25,163,8,1098.0,False,,1039,,,7.023,PathIntegralAnnealingSampler
25,145,9,963.0,False,,924,,,7.179,PathIntegralAnnealingSampler
25,145,10,1009.0,False,,960,,,7.202,PathIntegralAnnealingSampler
25,152,11,1057.0,False,,976,,,7.872,PathIntegralAnnealingSampler
25,150,12,1044.0,False,,999,,,10.324,PathIntegralAnnealingSampler
25,142,13,993.0,False,,915,,,7.378,PathIntegralAnnealingSampler
25,137,14,877.0,False,,848,,,7.308,PathIntegralAnnealingSampler
25,153,15,1018.0,False,,997,,,7.446,PathIntegralAnnealingSampler
25,139,16,933.0,False,,905,,,7.227,PathIntegralAnnealingSampler
25,152,17,1068.0,True,1068.0,1005,1.0626865671641792,0.0626865671641791,7.316,PathIntegralAnnealingSampler
25,157,18,1059.0,False,,1054,,,7.357,PathIntegralAnnealingSampler
25,142,19,935.0,True,935.0,915,1.0218579234972678,0.02185792349726776,7.464,PathIntegralAnnealingSampler
25,147,20,936.0,True,936.0,888,1.054054054054054,0.05405405405405406,7.544,PathIntegralAnnealingSampler
25,136,21,904.0,False,,884,,,10.575,PathIntegralAnnealingSampler
25,148,22,984.0,True,984.0,933,1.0546623794212218,0.05466237942122187,10.886,PathIntegralAnnealingSampler
25,132,23,955.0,False,,858,,,7.593,PathIntegralAnnealingSampler
25,144,24,955.0,False,,915,,,7.505,PathIntegralAnnealingSampler
25,143,25,921.0,False,,900,,,7.689,PathIntegralAnnealingSampler
25,139,26,863.0,False,,821,,,7.561,PathIntegralAnnealingSampler
25,152,27,1033.0,False,,954,,,11.937,PathIntegralAnnealingSampler
25,163,28,1147.0,False,,1098,,,14.886,PathIntegralAnnealingSampler
25,143,29,889.0,False,,869,,,14.725,PathIntegralAnnealingSampler
25,147,30,985.0,False,,937,,,14.785,PathIntegralAnnealingSampler
25,151,31,1029.0,True,1029.0,1004,1.0249003984063745,0.0249003984063745,14.738,PathIntegralAnnealingSampler
25,156,32,1037.0,True,1037.0,1054,0.9838709677419355,-0.016129032258064516,14.661,PathIntegralAnnealingSampler
25,144,33,991.0,False,,928,,,14.841,PathIntegralAnnealingSampler
25,148,34,996.0,True,996.0,983,1.0132248219735505,0.013224821973550356,14.8,PathIntegralAnnealingSampler
25,154,35,1075.0,False,,1052,,,14.878,PathIntegralAnnealingSampler
25,151,36,1020.0,True,1020.0,993,1.027190332326284,0.027190332326283987,14.894,PathIntegralAnnealingSampler
25,167,37,1196.0,False,,1130,,,14.84,PathIntegralAnnealingSampler
25,146,38,1002.0,False,,948,,,14.947,PathIntegralAnnealingSampler
25,156,39,1074.0,False,,1016,,,14.739,PathIntegralAnnealingSampler
25,137,40,907.0,False,,863,,,14.913,PathIntegralAnnealingSampler
25,158,41,1111.0,False,,1074,,,15.019,PathIntegralAnnealingSampler
25,147,42,947.0,False,,947,,,14.645,PathIntegralAnnealingSampler
25,155,43,1072.0,False,,1051,,,14.85,PathIntegralAnnealingSampler
25,131,44,881.0,False,,831,,,14.798,PathIntegralAnnealingSampler
