n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
10,26,10.0,10000.0,0.48322147651022984,True,72.0,67,0.07462686567164178,0.291
10,26,10.0,50000.0,0.5033557046981345,True,75.0,67,0.11940298507462686,0.287
10,26,10.0,100000.0,0.4966442953021559,True,74.0,67,0.1044776119402985,0.287
10,26,10.0,500000.0,0.49664429530216214,True,74.0,67,0.1044776119402985,0.291
10,26,10.0,1000000.0,0.4765100671142424,True,71.0,67,0.05970149253731343,0.296
10,26,50.0,50.0,0.5369127516780301,False,,67,,0.29
10,26,50.0,100.0,0.4697986577182771,True,70.0,67,0.04477611940298507,0.292
10,26,50.0,500.0,0.45637583892632794,True,68.0,67,0.014925373134328358,0.29
10,26,50.0,1000.0,0.4832214765102174,True,72.0,67,0.07462686567164178,0.289
10,26,50.0,5000.0,0.4630872483223163,True,69.0,67,0.029850746268656716,0.298
10,26,50.0,10000.0,0.45637583892632794,True,68.0,67,0.014925373134328358,0.29
10,26,50.0,50000.0,0.4496644295303538,True,67.0,67,0.0,0.289
10,26,50.0,100000.0,0.4563758389263244,True,68.0,67,0.014925373134328358,0.287
10,26,50.0,500000.0,0.48993288590618533,True,73.0,67,0.08955223880597014,0.288
10,26,50.0,1000000.0,0.4832214765102236,True,72.0,67,0.07462686567164178,0.285
10,26,100.0,100.0,0.48322147651020675,True,72.0,67,0.07462686567164178,0.284
10,26,100.0,500.0,0.4765100671142495,True,71.0,67,0.05970149253731343,0.286
10,26,100.0,1000.0,0.4899328859061871,True,73.0,67,0.08955223880597014,0.289
10,26,100.0,5000.0,0.5033557046981301,True,75.0,67,0.11940298507462686,0.288
10,26,100.0,10000.0,0.5100671140941158,True,76.0,67,0.13432835820895522,0.29
10,26,100.0,50000.0,0.5436241610739687,False,,67,,0.293
10,26,100.0,100000.0,0.5369127516780052,True,80.0,67,0.19402985074626866,0.288
10,26,100.0,500000.0,0.5234899328860569,True,78.0,67,0.16417910447761194,0.285
10,26,100.0,1000000.0,0.5637583892619018,False,,67,,0.291
10,26,500.0,500.0,0.6241610738256638,False,,67,,0.295
10,26,500.0,1000.0,0.6174496644296985,False,,67,,0.29
10,26,500.0,5000.0,0.6510067114095515,False,,67,,0.298
10,26,500.0,10000.0,0.6107382550337039,True,91.0,67,0.3582089552238806,0.311
10,26,500.0,50000.0,0.6577181208055141,False,,67,,0.285
10,26,500.0,100000.0,0.5906040268457868,False,,67,,0.296
10,26,500.0,500000.0,0.6711409395974703,False,,67,,0.292
10,26,500.0,1000000.0,0.6845637583894097,False,,67,,0.29
10,26,1000.0,1000.0,0.5704697986578608,True,85.0,67,0.26865671641791045,0.288
10,26,1000.0,5000.0,0.6778523489934409,False,,67,,0.291
10,26,1000.0,10000.0,0.6778523489934409,False,,67,,0.285
10,26,1000.0,50000.0,0.6644295302014944,False,,67,,0.288
10,26,1000.0,100000.0,0.6107382550337039,False,,67,,0.29
10,26,1000.0,500000.0,0.6107382550337217,False,,67,,0.289
10,26,1000.0,1000000.0,0.6577181208055309,False,,67,,0.289
10,26,5000.0,5000.0,0.5973154362417645,False,,67,,0.288
10,26,5000.0,10000.0,0.6845637583894044,False,,67,,0.288
10,26,5000.0,50000.0,0.6711409395974739,False,,67,,0.289
10,26,5000.0,100000.0,0.6308724832216326,False,,67,,0.292
10,26,5000.0,500000.0,0.6375838926175961,False,,67,,0.283
10,26,5000.0,1000000.0,0.597315436241769,True,89.0,67,0.3283582089552239,0.284
10,26,10000.0,10000.0,0.7382550335572144,False,,67,,0.285
10,26,10000.0,50000.0,0.6241610738256487,True,93.0,67,0.3880597014925373,0.286
10,26,10000.0,100000.0,0.677852348993448,False,,67,,0.288
10,26,10000.0,500000.0,0.6979865771813598,False,,67,,0.294
10,26,10000.0,1000000.0,0.624161073825654,False,,67,,0.29
10,26,50000.0,50000.0,0.6442953020135684,False,,67,,0.292
10,26,50000.0,100000.0,0.5704697986578768,True,85.0,67,0.26865671641791045,0.293
10,26,50000.0,500000.0,0.6174496644296843,False,,67,,0.29
10,26,50000.0,1000000.0,0.6308724832216335,False,,67,,0.291
10,26,100000.0,100000.0,0.671140939597465,False,,67,,0.294
10,26,100000.0,500000.0,0.6241610738256567,False,,67,,0.293
10,26,100000.0,1000000.0,0.7248322147652457,False,,67,,0.291
10,26,500000.0,500000.0,0.5973154362417512,False,,67,,0.293
10,26,500000.0,1000000.0,0.5838926174498145,True,87.0,67,0.29850746268656714,0.29
10,26,1000000.0,1000000.0,0.6375838926176067,False,,67,,0.291
