assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
110|011|011,4,2*mu_thermometer + 6*mu_bijective,2,6
110|011|100,3,1*mu_thermometer + 1*mu_bijective,1,1
110|011|101,4,2*mu_thermometer + 2*mu_bijective,2,2
110|011|110,2,1*mu_thermometer + 2*mu_bijective,1,2
110|011|111,3,1*mu_thermometer + 3*mu_bijective,1,3
110|100|000,3,3*mu_bijective,0,3
110|100|001,4,1*mu_thermometer + 2*mu_bijective,1,2
110|100|010,2,1*mu_thermometer + 2*mu_bijective,1,2
110|100|011,3,1*mu_thermometer + 1*mu_bijective,1,1
110|100|100,2,2*mu_bijective,0,2
110|100|101,3,1*mu_thermometer + 1*mu_bijective,1,1
110|100|110,1,1*mu_bijective,0,1
110|100|111,2,0,0,0
110|101|000,4,1*mu_thermometer + 2*mu_bijective,1,2
110|101|001,5,2*mu_thermometer + 3*mu_bijective,2,3
110|101|010,3,2*mu_thermometer + 1*mu_bijective,2,1
110|101|011,4,2*mu_thermometer + 2*mu_bijective,2,2
110|101|100,3,1*mu_thermometer + 1*mu_bijective,1,1
110|101|101,4,2*mu_thermometer + 2*mu_bijective,2,2
110|101|110,2,1*mu_thermometer,1,0
110|101|111,3,1*mu_thermometer + 1*mu_bijective,1,1
110|110|000,2,2*mu_bijective,0,2
110|110|001,3,1*mu_thermometer + 1*mu_bijective,1,1
110|110|010,1,1*mu_thermometer + 3*mu_bijective,1,3
110|110|011,2,1*mu_thermometer + 2*mu_bijective,1,2
110|110|100,1,1*mu_bijective,0,1
110|110|101,2,1*mu_thermometer,1,0
110|110|110,0,2*mu_bijective,0,2
110|110|111,1,1*mu_bijective,0,1
110|111|000,3,1*mu_bijective,0,1
110|111|001,4,1*mu_thermometer + 2*mu_bijective,1,2
110|111|010,2,1*mu_thermometer + 2*mu_bijective,1,2
110|111|011,3,1*mu_thermometer + 3*mu_bijective,1,3
110|111|100,2,0,0,0
110|111|101,3,1*mu_thermometer + 1*mu_bijective,1,1
110|111|110,1,1*mu_bijective,0,1
110|111|111,2,2*mu_bijective,0,2
111|000|000,6,5*mu_bijective,0,5
111|000|001,5,1*mu_thermometer + 6*mu_bijective,1,6
