n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
20,99,6,SimulatedAnnealingSampler,lucas,True,5,517.8,365.6524809773818,1.416098691894366,0.207,5,10,1000,linear,0.1,0.5
20,99,6,SimulatedAnnealingSampler,exact,False,0,,365.6524809773818,,0.08,5,10,1000,geometric,0.01,0.1
20,92,7,SimulatedAnnealingSampler,lucas,True,4,472.75,287.0,1.647212543554007,0.198,5,10,1000,linear,0.1,0.5
20,92,7,SimulatedAnnealingSampler,exact,False,0,,287.0,,0.088,5,10,1000,geometric,0.01,0.1
20,93,8,SimulatedAnnealingSampler,lucas,True,5,485.0,322.9065976011016,1.501982318116455,0.194,5,10,1000,linear,0.1,0.5
20,93,8,SimulatedAnnealingSampler,exact,False,0,,322.9065976011016,,0.09,5,10,1000,geometric,0.01,0.1
20,87,9,SimulatedAnnealingSampler,lucas,True,4,425.25,257.0,1.654669260700389,0.186,5,10,1000,linear,0.1,0.5
20,87,9,SimulatedAnnealingSampler,exact,False,0,,257.0,,0.09,5,10,1000,geometric,0.01,0.1
20,91,10,SimulatedAnnealingSampler,lucas,True,5,462.8,316.5249506777438,1.4621280218480466,0.193,5,10,1000,linear,0.1,0.5
20,91,10,SimulatedAnnealingSampler,exact,False,0,,316.5249506777438,,0.084,5,10,1000,geometric,0.01,0.1
20,101,11,SimulatedAnnealingSampler,lucas,True,2,527.0,343.0,1.5364431486880465,0.181,5,10,1000,linear,0.1,0.5
20,101,11,SimulatedAnnealingSampler,exact,False,0,,343.0,,0.087,5,10,1000,geometric,0.01,0.1
20,94,12,SimulatedAnnealingSampler,lucas,True,5,469.0,317.5725368772195,1.476827954368503,0.193,5,10,1000,linear,0.1,0.5
20,94,12,SimulatedAnnealingSampler,exact,False,0,,317.5725368772195,,0.088,5,10,1000,geometric,0.01,0.1
20,93,13,SimulatedAnnealingSampler,lucas,True,5,492.4,350.1195543807781,1.4063767471395858,0.184,5,10,1000,linear,0.1,0.5
20,93,13,SimulatedAnnealingSampler,exact,False,0,,350.1195543807781,,0.092,5,10,1000,geometric,0.01,0.1
20,102,14,SimulatedAnnealingSampler,lucas,True,5,520.6,365.9228588054341,1.42270423252462,0.189,5,10,1000,linear,0.1,0.5
20,102,14,SimulatedAnnealingSampler,exact,False,0,,365.9228588054341,,0.083,5,10,1000,geometric,0.01,0.1
20,92,15,SimulatedAnnealingSampler,lucas,True,3,482.6666666666667,287.0,1.6817653890824624,0.192,5,10,1000,linear,0.1,0.5
20,92,15,SimulatedAnnealingSampler,exact,False,0,,287.0,,0.084,5,10,1000,geometric,0.01,0.1
20,93,16,SimulatedAnnealingSampler,lucas,True,5,466.4,293.8456849316441,1.5872276637599643,0.187,5,10,1000,linear,0.1,0.5
20,93,16,SimulatedAnnealingSampler,exact,False,0,,293.8456849316441,,0.091,5,10,1000,geometric,0.01,0.1
20,96,17,SimulatedAnnealingSampler,lucas,True,5,513.2,337.0587429842088,1.5225832608770025,0.189,5,10,1000,linear,0.1,0.5
20,96,17,SimulatedAnnealingSampler,exact,False,0,,337.0587429842088,,0.083,5,10,1000,geometric,0.01,0.1
20,90,18,SimulatedAnnealingSampler,lucas,True,1,455.0,275.0,1.6545454545454545,0.196,5,10,1000,linear,0.1,0.5
20,90,18,SimulatedAnnealingSampler,exact,False,0,,275.0,,0.087,5,10,1000,geometric,0.01,0.1
